id,slug,vin,stockNumber,year,make,model,trim,price,msrp,mileage,bodyStyle,drivetrain,transmission,engine,fuelType,mpgCity,mpgHighway,exteriorColor,interiorColor,features,condition,location,imageUrls,dateListed,certified,oneOwner,carfaxUrl
aann-plan-ga,auction-access-georgia-fast-track,AANN-PLAN-GA,AANN-PLAN-GA,2025,Georgia,Fast Track Auction Access,Dealer ID & Same-Day Scheduling,699,0,3,Hybrid (Online + In-Person),Concierge,Same-Day Processing,Compliance Packet & Fingerprints,Phone + Email Support,1,3,Digital Packet,Notary Support,Same-day Auction Access|Fingerprint scheduling|Dealer onboarding support|Compliance checklist,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-1.svg;/assets/vehicles/vehicle-2.svg,2025-02-15,true,true,#
aann-plan-fl,auction-access-florida-concierge,AANN-PLAN-FL,AANN-PLAN-FL,2025,Florida,Concierge Auction Access,Dealer License & Virtual Coaching,749,0,4,Online,Concierge,Rush Processing,Fingerprint Kits & Surety Bond,Text + Email Support,1,4,Digital Packet,Remote Notary,Nationwide coverage|Bond & insurance partners|Dedicated concierge|Document uploads,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-3.svg;/assets/vehicles/vehicle-4.svg,2025-02-10,true,false,#
aann-plan-tx,auction-access-texas-on-site,AANN-PLAN-TX,AANN-PLAN-TX,2025,Texas,On-Site Dealer Auction Access,Same-Day Badge Pickup,829,0,2,In-Person,Concierge,Same-Day Processing,Live Fingerprinting & Bond,Phone + On-Site Support,1,2,On-Site Packet,State Inspection Prep,On-site notarization|Wholesale training|Flexible pricing|Paperwork review,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-5.svg;/assets/vehicles/vehicle-6.svg,2025-02-08,true,true,#
aann-plan-ca,auction-access-california-virtual,AANN-PLAN-CA,AANN-PLAN-CA,2025,California,Virtual Auction Access,Remote Dealer ID Setup,779,0,5,Online,Concierge,Priority Processing,Digital Fingerprints & Sellers Permit,Video + Email Support,1,5,Digital Packet,Compliance Coaching,Virtual onboarding|Auction introductions|Multi-state expertise|Renewal reminders,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-7.svg;/assets/vehicles/vehicle-8.svg,2025-02-05,false,true,#
aann-plan-ny,auction-access-new-york-hybrid,AANN-PLAN-NY,AANN-PLAN-NY,2025,New York,Hybrid Auction Access,Compliance Concierge,849,0,4,Hybrid (Online + In-Person),Concierge,Rush Processing,Background Check & Bond,Phone + Video Support,1,4,Compliance Packet,Document Courier,Same-day Auction Access|Fingerprint scheduling|Dealer onboarding support|Compliance checklist,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-9.svg;/assets/vehicles/vehicle-10.svg,2025-01-30,true,false,#
aann-plan-il,auction-access-illinois-enterprise,AANN-PLAN-IL,AANN-PLAN-IL,2025,Illinois,Enterprise Auction Access,Multi-Dealer Team Setup,1099,0,7,On-Site,Enterprise Concierge,Coordinated Scheduling,Group Fingerprinting & Bond,Phone + In-Person Support,1,7,On-Site Packet,Team Training,On-site notarization|Wholesale training|Flexible pricing|Paperwork review,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-11.svg;/assets/vehicles/vehicle-12.svg,2025-02-01,true,false,#
aann-plan-nc,auction-access-north-carolina-fast-pass,AANN-PLAN-NC,AANN-PLAN-NC,2025,North Carolina,Fast Pass Auction Access,Dealer Seminar + Badge,689,0,3,Hybrid (Online + In-Person),Concierge,Standard Processing,Fingerprinting & DMV Coordination,Phone + Email Support,1,3,Digital Packet,Seminar Access,Nationwide coverage|Bond & insurance partners|Dedicated concierge|Document uploads,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-13.svg;/assets/vehicles/vehicle-14.svg,2025-01-27,false,true,#
aann-plan-oh,auction-access-ohio-remote,AANN-PLAN-OH,AANN-PLAN-OH,2025,Ohio,Remote Auction Access,Virtual Dealer Orientation,659,0,4,Online,Concierge,Standard Processing,Digital Fingerprints & Bond,Text + Email Support,1,4,Digital Packet,Orientation Workbook,Virtual onboarding|Auction introductions|Multi-state expertise|Renewal reminders,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-15.svg;/assets/vehicles/vehicle-16.svg,2025-01-22,false,false,#
aann-plan-az,auction-access-arizona-expedited,AANN-PLAN-AZ,AANN-PLAN-AZ,2025,Arizona,Expedited Auction Access,48-Hour Badge Delivery,719,0,2,Hybrid (Online + In-Person),Concierge,Expedited Processing,Bond & Insurance Coordination,Phone + Email Support,1,2,Digital Packet,On-Site Support,Same-day Auction Access|Fingerprint scheduling|Dealer onboarding support|Compliance checklist,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-17.svg;/assets/vehicles/vehicle-18.svg,2025-01-18,true,true,#
aann-plan-al,auction-access-alabama-concierge,AANN-PLAN-AL,AANN-PLAN-AL,2025,Alabama,Concierge Auction Access,Dealer Packet & Training,629,0,3,In-Person,Concierge,Standard Processing,Notary & Bond Partners,Phone Support,1,3,On-Site Packet,Training Materials,On-site notarization|Wholesale training|Flexible pricing|Paperwork review,Auction Access,Available via Auction Access concierge,/assets/vehicles/vehicle-19.svg;/assets/vehicles/vehicle-20.svg,2025-01-12,true,false,#
